CodigoCliente,Titulo,PrimeiroNome,UltimoNome,Idade,Sexo,Endereco,Cidade,UF,UFCompleto,CEP,Pais,PaisCompleto,Email,RendaMensal,PercentualUtilizacaoLimite,QtdTransacoesNegadas,AnosDeRelacionamentoBanco,JaUsouChequeEspecial,QtdEmprestimos,NumeroAtendimentos,TMA,IndiceSatisfacao,Saldo,CLTV,CanalPref,Churn
9950,Sra.,Tânia,Barros,24,Feminino,Rua Hulha Negra 1937,Recife,PE,Pernambuco,51310-024,BR,Brazil,TaniaCastroBarros@cuvox.de,5749,0.95,14,10,1,1,27,50,0,1366,49,Push,1,,2024-09-03T00:32:45.337Z
9951,Sr.,Luis,Pinto,66,Masculino,Avenida Doutor João Batista de A. Barbosa 1417,São João da Boa Vista,SP,São Paulo,13876-021,BR,Brazil,LuisCardosoPinto@fleckens.hu,5685,0.98,15,1,0,5,27,55,0,539,38,SMS,1,,2024-09-03T00:32:45.337Z
9952,Sr.,Martim,Carvalho,25,Masculino,Rua Ismael Uchôa 1211,Jaboatão dos Guararapes,PE,Pernambuco,54210-170,BR,Brazil,MartimBarrosCarvalho@cuvox.de,3559,0.91,3,8,0,3,49,80,1,2144,65,SMS,1,,2024-09-03T00:32:45.337Z
9953,Sra.,Rafaela,Santos,24,Feminino,Rua Acelino Grande 697,Curitiba,PR,Paraná,82320-390,BR,Brazil,RafaelaRodriguesSantos@cuvox.de,9533,0.83,0,1,1,4,12,166,3,3022,90,SMS,1,,2024-09-03T00:32:45.337Z
9954,Sra.,Beatriz,Correia,19,Feminino,Rua Valério Kovalczuck 1804,Piraquara,PR,Paraná,83305-160,BR,Brazil,BeatrizCavalcantiCorreia@dayrep.com,3183,0.96,2,8,0,0,30,52,3,2394,46,Push,1,,2024-09-03T00:32:45.337Z
9955,Sra.,Thaís,Barbosa,46,Feminino,Rua Pedro Galdino dos Santos 275,Caraguatatuba,SP,São Paulo,11660-470,BR,Brazil,ThaisPereiraBarbosa@dayrep.com,6859,1.0,13,8,0,1,42,182,3,585,75,SMS,1,,2024-09-03T00:32:45.337Z
9956,Sr.,Carlos,Goncalves,30,Masculino,Rua Idioma Esperanto 907,São Paulo,SP,São Paulo,08010-350,BR,Brazil,CarlosGomesGoncalves@superrito.com,8489,0.84,9,20,0,2,34,182,0,7276,39,Push,1,,2024-09-03T00:32:45.337Z
9957,Sra.,Emily,Dias,52,Feminino,Rua Hulha Negra 388,Natal,RN,Rio Grande do Norte,59069-270,BR,Brazil,EmilyAraujoDias@jourrapide.com,3336,1.0,10,5,0,0,42,136,3,8945,73,Ligacao,1,,2024-09-03T00:32:45.337Z
9958,Sr.,Vitor,Costa,39,Masculino,Rua Alberto Rodrigues da Silva 1530,Santa Luzia,MG,Minas Gerais,33140-100,BR,Brazil,VitorCorreiaCosta@gustr.com,7627,0.99,0,19,0,5,47,166,3,6471,79,Email,1,,2024-09-03T00:32:45.337Z
9959,Sra.,Melissa,Araujo,62,Feminino,Quadra 404 Norte Rua 4 1824,Palmas,TO,Tocantins,77006-400,BR,Brazil,MelissaPereiraAraujo@superrito.com,7060,0.88,13,8,0,0,15,65,5,8983,66,Email,1,,2024-09-03T00:32:45.337Z
